Duration,Distance,OriginalPace,HeartRate,Cadence,PowerOriginal,CalculatedPace,CalculatedStrideLength,CalculatedAerobicEfficiencyPace,CalculatedAerobicEfficiencyPower,CalculatedEfficiencyIndex
1,0.09453,294.9,103,81,125,294.9,2.51,0.033,1.218,3.391
1,0.09801,286.8,102,86,123,286.8,2.43,0.034,1.206,3.487
1,0.10112,321.9,102,88,138,321.9,2.12,0.03,1.353,3.106
1,0.1044,305.1,103,78,135,305.1,2.52,0.032,1.304,3.278
1,0.10774,298.9,103,76,126,298.9,2.64,0.032,1.22,3.345
1,0.11124,286.0,104,78,105,286.0,2.69,0.034,1.015,3.497
1,0.1141,350.1,104,85,111,350.1,2.02,0.028,1.065,2.856
1,0.1175,293.9,105,76,129,293.9,2.69,0.033,1.232,3.403
1,0.12053,329.6,105,77,130,329.6,2.36,0.029,1.233,3.034
1,0.12404,285.6,106,83,134,285.6,2.53,0.033,1.274,3.502
1,0.12705,332.2,106,83,113,332.2,2.18,0.028,1.068,3.01
1,0.13088,260.6,106,78,159,260.6,2.95,0.036,1.496,3.837
1,0.13381,341.2,107,86,108,341.2,2.04,0.027,1.011,2.931
1,0.13779,251.3,107,86,143,251.3,2.78,0.037,1.335,3.979
1,0.14087,325.4,107,78,121,325.4,2.36,0.029,1.134,3.073
1,0.14438,284.3,107,83,124,284.3,2.54,0.033,1.16,3.517
1,0.14839,249.4,108,81,126,249.4,2.97,0.037,1.168,4.009
1,0.15196,280.4,108,78,137,280.4,2.74,0.033,1.273,3.567
1,0.15523,305.9,108,84,122,305.9,2.33,0.03,1.128,3.269
1,0.15861,295.5,108,80,111,295.5,2.54,0.031,1.031,3.384
1,0.16208,288.3,108,83,130,288.3,2.51,0.032,1.213,3.469
1,0.16496,347.2,108,82,111,347.2,2.11,0.027,1.028,2.88
1,0.16863,272.8,108,86,133,272.8,2.56,0.034,1.232,3.666
1,0.17183,312.2,108,83,102,312.2,2.32,0.03,0.947,3.204
1,0.17555,268.9,110,85,136,268.9,2.63,0.034,1.244,3.719
1,0.17926,269.6,110,81,144,269.6,2.75,0.034,1.312,3.709
1,0.18247,311.1,110,80,113,311.1,2.41,0.029,1.031,3.214
1,0.18585,296.1,110,86,169,296.1,2.36,0.031,1.544,3.377
1,0.18883,335.1,110,82,119,335.1,2.18,0.027,1.082,2.984
1,0.1921,306.5,110,79,115,306.5,2.48,0.03,1.04,3.263
1,0.19561,284.7,110,91,129,284.7,2.32,0.032,1.166,3.513
1,0.19879,314.8,110,78,92,314.8,2.44,0.029,0.829,3.177
1,0.2022,292.8,110,84,114,292.8,2.44,0.031,1.031,3.415
1,0.20516,337.9,110,79,107,337.9,2.25,0.027,0.966,2.959
1,0.20908,255.4,111,78,160,255.4,3.01,0.035,1.445,3.916
1,0.21271,275.2,112,77,167,275.2,2.83,0.033,1.495,3.634
1,0.2165,264.0,111,85,151,264.0,2.67,0.034,1.359,3.788
1,0.21942,342.0,111,68,112,342.0,2.58,0.026,1.006,2.924
1,0.22237,338.8,111,88,124,338.8,2.01,0.027,1.12,2.952
1,0.22529,342.9,111,88,121,342.9,1.99,0.026,1.089,2.916
1,0.22899,270.6,111,79,150,270.6,2.81,0.033,1.347,3.696
1,0.23229,302.8,111,82,133,302.8,2.42,0.03,1.194,3.303
1,0.23536,325.2,112,88,132,325.2,2.1,0.028,1.177,3.075
1,0.23928,255.4,111,83,168,255.4,2.83,0.035,1.511,3.915
1,0.24258,303.4,111,81,135,303.4,2.44,0.03,1.213,3.296
1,0.24566,324.5,112,83,119,324.5,2.23,0.028,1.069,3.082
1,0.24935,270.5,112,86,146,270.5,2.58,0.033,1.307,3.696
1,0.25272,297.1,112,85,115,297.1,2.38,0.03,1.032,3.365
1,0.25594,310.6,112,87,130,310.6,2.22,0.029,1.161,3.219
1,0.25969,266.6,112,82,140,266.6,2.74,0.034,1.253,3.751
1,0.26323,282.8,112,88,145,282.8,2.41,0.031,1.293,3.536
1,0.2667,288.0,112,84,143,288.0,2.48,0.031,1.271,3.472
1,0.27062,255.2,113,79,133,255.2,2.98,0.035,1.175,3.918
1,0.274,295.4,112,86,113,295.4,2.36,0.03,1.004,3.386
1,0.27727,305.5,113,82,142,305.5,2.4,0.029,1.262,3.274
1,0.28063,297.7,113,86,133,297.7,2.34,0.03,1.177,3.359
1,0.28372,324.1,113,83,116,324.1,2.23,0.027,1.035,3.085
1,0.28682,322.4,113,83,117,322.4,2.24,0.028,1.035,3.101
1,0.28976,339.7,113,76,123,339.7,2.32,0.026,1.091,2.944
1,0.29338,276.3,113,83,119,276.3,2.62,0.032,1.052,3.619
1,0.29668,303.0,113,83,147,303.0,2.39,0.029,1.304,3.3
1,0.29986,314.5,113,83,132,314.5,2.3,0.028,1.165,3.179
1,0.30345,278.6,114,82,141,278.6,2.63,0.032,1.244,3.59
1,0.30698,283.6,114,83,145,283.6,2.55,0.031,1.272,3.526
1,0.31052,282.8,114,82,134,282.8,2.59,0.031,1.182,3.537
1,0.31399,287.5,114,92,159,287.5,2.27,0.03,1.391,3.478
1,0.31735,297.6,114,91,148,297.6,2.22,0.029,1.298,3.36
1,0.32046,321.8,114,73,118,321.8,2.55,0.027,1.031,3.107
1,0.32418,268.5,114,83,119,268.5,2.69,0.033,1.044,3.725
1,0.32789,270.0,114,79,150,270.0,2.81,0.032,1.316,3.704
1,0.33092,329.5,115,86,109,329.5,2.12,0.026,0.952,3.035
1,0.33431,295.1,115,81,102,295.1,2.51,0.029,0.888,3.388
1,0.33743,321.1,115,81,105,321.1,2.31,0.027,0.91,3.115
1,0.34071,304.4,115,78,125,304.4,2.53,0.028,1.087,3.285
1,0.34386,317.5,116,85,136,317.5,2.22,0.027,1.174,3.149
1,0.34679,341.1,116,83,106,341.1,2.12,0.025,0.914,2.931
1,0.35051,268.7,116,88,162,268.7,2.54,0.032,1.39,3.721
1,0.35456,247.2,117,82,171,247.2,2.96,0.034,1.459,4.045
1,0.35827,269.8,118,79,146,269.8,2.82,0.031,1.236,3.707
1,0.36137,322.0,117,78,153,322.0,2.39,0.026,1.307,3.105
1,0.36476,295.5,118,88,130,295.5,2.31,0.029,1.102,3.384
1,0.36847,269.4,117,76,164,269.4,2.93,0.032,1.398,3.712
1,0.37194,288.2,117,74,142,288.2,2.81,0.03,1.207,3.469
1,0.37488,340.3,118,83,111,340.3,2.12,0.025,0.947,2.938
1,0.37844,280.6,117,82,126,280.6,2.61,0.03,1.073,3.563
1,0.38148,329.1,117,79,117,329.1,2.31,0.026,1.0,3.038
1,0.38458,322.1,117,80,133,322.1,2.33,0.027,1.14,3.105
1,0.38843,259.6,117,81,171,259.6,2.85,0.033,1.457,3.852
1,0.39203,278.1,117,85,134,278.1,2.54,0.031,1.14,3.595
1,0.39478,363.3,117,81,126,363.3,2.04,0.024,1.078,2.753
1,0.39786,324.6,118,88,109,324.6,2.1,0.026,0.924,3.081
1,0.40168,261.7,118,95,146,261.7,2.41,0.032,1.243,3.821
1,0.40514,289.0,117,76,134,289.0,2.73,0.029,1.14,3.46
1,0.40816,331.1,117,79,123,331.1,2.29,0.026,1.05,3.021
1,0.41229,242.4,117,83,167,242.4,2.98,0.035,1.421,4.125
1,0.41588,278.8,117,88,138,278.8,2.45,0.031,1.178,3.587
1,0.41877,345.3,117,78,118,345.3,2.23,0.025,1.008,2.896
1,0.42253,266.2,118,77,153,266.2,2.93,0.032,1.302,3.756
1,0.42563,322.4,118,80,125,322.4,2.33,0.026,1.064,3.102
1,0.42907,290.7,117,83,138,290.7,2.49,0.029,1.174,3.439
1,0.43266,278.7,117,80,133,278.7,2.69,0.031,1.134,3.588
1,0.43639,268.2,117,83,146,268.2,2.7,0.032,1.252,3.728
1,0.43966,305.5,117,79,107,305.5,2.49,0.028,0.918,3.273
1,0.44297,301.6,116,75,124,301.6,2.65,0.029,1.065,3.316
1,0.44606,324.3,116,85,142,324.3,2.18,0.027,1.227,3.084
1,0.44951,289.8,116,80,137,289.8,2.59,0.03,1.182,3.451
1,0.45265,317.9,116,86,123,317.9,2.19,0.027,1.06,3.145
1,0.45663,251.7,115,85,153,251.7,2.8,0.034,1.329,3.973
1,0.45956,340.6,115,83,94,340.6,2.12,0.026,0.816,2.936
1,0.46305,286.7,115,83,145,286.7,2.52,0.03,1.264,3.488
1,0.46663,279.6,115,84,160,279.6,2.55,0.031,1.387,3.577
1,0.46989,306.6,115,84,130,306.6,2.33,0.028,1.13,3.262
1,0.47332,291.2,116,86,144,291.2,2.4,0.03,1.243,3.434
1,0.47676,290.9,116,75,161,290.9,2.75,0.03,1.385,3.438
1,0.48029,283.4,116,81,105,283.4,2.61,0.03,0.911,3.529
1,0.48327,336.2,116,86,145,336.2,2.08,0.026,1.253,2.974
1,0.48706,263.3,116,77,144,263.3,2.96,0.033,1.236,3.797
1,0.49116,243.9,116,85,146,243.9,2.89,0.035,1.254,4.1
1,0.49445,303.8,116,81,143,303.8,2.44,0.028,1.228,3.291
1,0.49796,285.0,116,83,155,285.0,2.54,0.03,1.332,3.509
1,0.5014,291.1,116,87,148,291.1,2.37,0.03,1.276,3.436
1,0.50492,284.3,116,80,135,284.3,2.64,0.03,1.165,3.517
1,0.50887,252.7,116,86,154,252.7,2.76,0.034,1.328,3.957
1,0.51212,308.3,117,80,148,308.3,2.43,0.028,1.266,3.244
1,0.51524,319.8,117,84,108,319.8,2.23,0.027,0.924,3.127
1,0.51881,280.5,117,92,146,280.5,2.32,0.03,1.245,3.565
1,0.52237,281.1,117,84,143,281.1,2.54,0.03,1.216,3.557
1,0.52603,272.6,117,89,127,272.6,2.47,0.031,1.077,3.669
1,0.52979,266.4,117,79,170,266.4,2.85,0.032,1.444,3.754
1,0.53367,257.9,118,76,142,257.9,3.06,0.033,1.204,3.878
1,0.53671,328.7,118,78,138,328.7,2.34,0.026,1.174,3.043
1,0.54003,301.2,118,78,156,301.2,2.55,0.028,1.323,3.32
1,0.54308,327.9,119,81,135,327.9,2.26,0.026,1.141,3.05
1,0.54651,291.5,119,72,137,291.5,2.86,0.029,1.156,3.43
1,0.55024,268.1,119,90,138,268.1,2.49,0.031,1.156,3.73
1,0.5537,289.3,119,93,137,289.3,2.23,0.029,1.156,3.457
1,0.55716,288.9,119,83,142,288.9,2.5,0.029,1.199,3.461
1,0.56041,307.5,118,82,132,307.5,2.38,0.027,1.113,3.252
1,0.56415,267.5,119,81,129,267.5,2.77,0.032,1.092,3.738
1,0.56663,403.5,119,86,95,403.5,1.73,0.021,0.797,2.478
1,0.56987,308.5,119,77,136,308.5,2.53,0.027,1.149,3.241
1,0.57348,277.1,119,86,123,277.1,2.52,0.03,1.027,3.609
1,0.57724,265.8,119,81,156,265.8,2.79,0.032,1.308,3.762
1,0.58042,314.5,119,81,121,314.5,2.36,0.027,1.013,3.179
1,0.58435,254.4,120,82,156,254.4,2.88,0.033,1.303,3.931
1,0.58757,310.1,120,84,124,310.1,2.3,0.027,1.033,3.225
1,0.5911,283.7,119,86,149,283.7,2.46,0.03,1.25,3.524
1,0.59416,326.9,120,79,134,326.9,2.32,0.026,1.119,3.059
1,0.59781,273.6,120,76,116,273.6,2.89,0.03,0.963,3.655
1,0.60091,323.2,121,82,106,323.2,2.26,0.026,0.881,3.094
1,0.60459,271.2,121,82,134,271.2,2.7,0.031,1.11,3.687
1,0.60812,283.8,121,81,146,283.8,2.61,0.029,1.208,3.523
1,0.61188,265.9,120,77,150,265.9,2.93,0.031,1.244,3.761
1,0.61552,274.9,120,83,147,274.9,2.63,0.03,1.225,3.638
1,0.61869,315.1,120,83,135,315.1,2.29,0.026,1.123,3.173
1,0.62241,269.0,119,87,152,269.0,2.56,0.031,1.273,3.717
1,0.62623,261.4,120,89,149,261.4,2.58,0.032,1.246,3.825
1,0.62941,314.3,119,79,112,314.3,2.42,0.027,0.936,3.182
1,0.63285,291.1,119,84,154,291.1,2.45,0.029,1.296,3.435
1,0.63592,325.4,119,78,134,325.4,2.36,0.026,1.131,3.073
1,0.63992,249.9,119,78,128,249.9,3.08,0.034,1.073,4.002
1,0.64372,263.3,119,79,154,263.3,2.88,0.032,1.295,3.798
1,0.64712,294.3,119,92,135,294.3,2.22,0.029,1.134,3.398
1,0.65131,238.5,119,83,166,238.5,3.03,0.035,1.397,4.193
1,0.65459,305.4,120,85,134,305.4,2.31,0.027,1.122,3.275
1,0.65785,306.5,120,85,157,306.5,2.3,0.027,1.307,3.263
1,0.6614,281.4,120,82,133,281.4,2.6,0.03,1.106,3.554
1,0.66513,268.5,120,84,149,268.5,2.66,0.031,1.247,3.725
1,0.66889,265.9,120,86,156,265.9,2.62,0.031,1.3,3.761
1,0.67247,279.4,120,84,145,279.4,2.56,0.03,1.213,3.58
1,0.67632,259.3,119,78,151,259.3,2.97,0.032,1.27,3.857
1,0.67987,282.2,120,83,146,282.2,2.56,0.03,1.221,3.544
1,0.68348,277.2,119,84,164,277.2,2.58,0.03,1.37,3.607
1,0.68682,299.0,119,83,139,299.0,2.42,0.028,1.165,3.345
1,0.6905,272.0,119,83,170,272.0,2.66,0.031,1.424,3.676
1,0.69395,289.7,119,88,173,289.7,2.35,0.029,1.451,3.452
1,0.69782,258.5,120,83,152,258.5,2.8,0.032,1.27,3.868
1,0.70118,297.3,120,92,138,297.3,2.19,0.028,1.147,3.364
1,0.70452,299.5,121,89,140,299.5,2.25,0.028,1.153,3.339
1,0.70776,308.1,121,77,140,308.1,2.53,0.027,1.159,3.246
1,0.71119,292.0,121,82,130,292.0,2.51,0.028,1.076,3.425
1,0.71499,263.3,120,88,176,263.3,2.59,0.032,1.462,3.798
1,0.71863,274.3,121,78,147,274.3,2.8,0.03,1.22,3.646
1,0.72284,237.8,121,84,151,237.8,3.0,0.035,1.251,4.206
1,0.72614,302.8,121,80,137,302.8,2.48,0.027,1.134,3.302
1,0.72944,303.0,121,88,137,303.0,2.25,0.027,1.131,3.3
1,0.73301,280.5,121,80,134,280.5,2.67,0.029,1.101,3.565
1,0.73706,246.7,121,89,152,246.7,2.73,0.034,1.261,4.054
1,0.7406,282.9,121,83,138,282.9,2.56,0.029,1.142,3.535
1,0.74409,286.2,122,82,161,286.2,2.56,0.029,1.323,3.494
1,0.74785,266.1,121,82,124,266.1,2.75,0.031,1.026,3.758
1,0.75162,265.2,121,82,140,265.2,2.76,0.031,1.154,3.771
1,0.75593,231.8,121,82,195,231.8,3.16,0.036,1.606,4.313
1,0.75955,276.7,122,86,162,276.7,2.52,0.03,1.325,3.614
1,0.76336,262.1,123,86,160,262.1,2.66,0.031,1.307,3.815
1,0.7673,253.7,123,89,169,253.7,2.66,0.032,1.372,3.942
1,0.77065,299.1,123,87,147,299.1,2.31,0.027,1.192,3.343
1,0.77462,251.9,123,83,157,251.9,2.87,0.032,1.272,3.97
1,0.77842,262.8,123,77,154,262.8,2.96,0.031,1.247,3.805
1,0.78218,265.9,124,82,162,265.9,2.75,0.03,1.305,3.76
1,0.78588,270.2,125,83,155,270.2,2.68,0.03,1.242,3.702
1,0.78963,266.7,125,81,162,266.7,2.78,0.03,1.293,3.75
1,0.79325,276.6,125,84,170,276.6,2.58,0.029,1.365,3.616
1,0.79716,255.8,124,81,172,255.8,2.9,0.032,1.39,3.91
1,0.80151,229.5,124,82,179,229.5,3.19,0.035,1.444,4.357
1,0.80471,313.3,123,84,125,313.3,2.28,0.026,1.016,3.192
1,0.80796,306.9,123,83,133,306.9,2.36,0.026,1.077,3.258
1,0.81129,300.6,124,85,128,300.6,2.35,0.027,1.038,3.327
1,0.81506,265.1,123,78,185,265.1,2.9,0.031,1.498,3.773
1,0.81874,272.0,124,82,151,272.0,2.69,0.03,1.221,3.677
1,0.82238,274.7,124,82,129,274.7,2.66,0.029,1.042,3.641
1,0.82616,264.8,124,85,158,264.8,2.67,0.03,1.273,3.777
1,0.83006,256.4,125,84,164,256.4,2.79,0.031,1.311,3.9
1,0.8341,247.8,125,80,151,247.8,3.03,0.032,1.201,4.036
1,0.83752,291.9,125,83,152,291.9,2.48,0.027,1.215,3.426
1,0.84081,303.7,125,82,168,303.7,2.41,0.026,1.345,3.293
1,0.84453,269.4,124,76,145,269.4,2.93,0.03,1.169,3.711
1,0.84827,267.0,124,79,167,267.0,2.84,0.03,1.347,3.745
1,0.8521,261.2,123,89,153,261.2,2.58,0.031,1.238,3.828
1,0.85516,326.9,123,84,149,326.9,2.18,0.025,1.207,3.059
1,0.85865,286.1,123,79,149,286.1,2.65,0.028,1.207,3.496
1,0.86275,244.0,124,82,186,244.0,3.0,0.033,1.502,4.098
1,0.86647,268.9,124,84,179,268.9,2.66,0.03,1.44,3.719
1,0.87038,255.9,124,87,166,255.9,2.7,0.031,1.337,3.908
1,0.87424,258.6,124,89,173,258.6,2.61,0.031,1.39,3.867
1,0.87831,246.2,124,91,191,246.2,2.68,0.033,1.541,4.062
1,0.88191,277.5,124,81,142,277.5,2.67,0.029,1.149,3.604
1,0.88617,234.9,124,83,164,234.9,3.08,0.034,1.322,4.257
1,0.89015,251.2,124,84,185,251.2,2.84,0.032,1.495,3.981
1,0.89347,300.8,124,82,165,300.8,2.43,0.027,1.338,3.324
1,0.89757,244.2,124,81,162,244.2,3.03,0.033,1.305,4.096
1,0.90123,273.4,123,83,133,273.4,2.64,0.03,1.075,3.658
1,0.90517,253.9,123,88,185,253.9,2.69,0.032,1.502,3.939
1,0.90837,312.1,124,85,152,312.1,2.26,0.026,1.228,3.204
1,0.91238,249.3,124,81,182,249.3,2.97,0.032,1.461,4.011
1,0.91594,280.9,124,81,164,280.9,2.64,0.029,1.318,3.559
1,0.91948,282.7,125,85,155,282.7,2.5,0.028,1.239,3.538
1,0.92283,298.7,124,88,169,298.7,2.28,0.027,1.367,3.348
1,0.92668,259.1,123,78,149,259.1,2.97,0.031,1.208,3.859
1,0.93035,272.5,124,82,147,272.5,2.69,0.03,1.192,3.67
1,0.93389,283.1,123,87,157,283.1,2.44,0.029,1.277,3.532
1,0.93745,280.9,123,88,128,280.9,2.43,0.029,1.042,3.56
1,0.94154,244.1,123,81,150,244.1,3.03,0.033,1.221,4.097
1,0.94532,264.8,123,87,163,264.8,2.6,0.031,1.326,3.777
1,0.94891,278.7,123,83,152,278.7,2.59,0.029,1.234,3.588
1,0.95267,265.6,123,86,170,265.6,2.63,0.031,1.378,3.765
1,0.95642,266.6,122,87,158,266.6,2.59,0.031,1.292,3.751
1,0.96023,262.8,121,92,175,262.8,2.48,0.031,1.441,3.805
1,0.96383,277.9,121,86,177,277.9,2.51,0.03,1.462,3.599
1,0.96742,278.6,122,82,146,278.6,2.63,0.029,1.197,3.59
1,0.97133,255.7,122,84,173,255.7,2.79,0.032,1.415,3.911
1,0.9757,228.6,122,85,201,228.6,3.09,0.036,1.64,4.374
1,0.97928,279.2,123,86,177,279.2,2.5,0.029,1.443,3.581
1,0.98306,264.6,123,85,187,264.6,2.67,0.031,1.525,3.78
1,0.98682,266.4,123,84,157,266.4,2.68,0.031,1.275,3.754
1,0.99103,237.6,123,83,187,237.6,3.04,0.034,1.518,4.209
1,0.99509,246.1,123,86,179,246.1,2.84,0.033,1.462,4.064
1,0.99873,274.8,123,82,153,274.8,2.66,0.03,1.239,3.64
1,1.002,305.5,123,79,155,305.5,2.49,0.027,1.257,3.273
1,1.00543,291.4,123,80,187,291.4,2.57,0.028,1.519,3.431
1,1.00923,263.1,123,89,147,263.1,2.56,0.031,1.199,3.8
1,1.01269,289.1,124,87,146,289.1,2.39,0.028,1.184,3.459
1,1.01548,358.9,124,76,114,358.9,2.2,0.022,0.915,2.787
1,1.01949,249.5,125,89,177,249.5,2.7,0.032,1.413,4.008
1,1.02334,259.2,126,86,170,259.2,2.69,0.031,1.349,3.857
1,1.02697,275.8,126,80,161,275.8,2.72,0.029,1.28,3.625
1,1.03005,324.6,126,78,129,324.6,2.37,0.025,1.025,3.081
1,1.03337,301.2,126,87,163,301.2,2.29,0.026,1.288,3.32
1,1.03681,291.0,127,79,142,291.0,2.61,0.027,1.12,3.436
1,1.04026,289.7,126,84,170,289.7,2.47,0.027,1.343,3.452
1,1.04394,271.8,126,76,149,271.8,2.9,0.029,1.179,3.679
1,1.04796,248.7,127,84,160,248.7,2.87,0.032,1.261,4.022
1,1.0518,260.1,126,84,162,260.1,2.75,0.03,1.284,3.845
1,1.05533,283.2,126,80,161,283.2,2.65,0.028,1.274,3.531
1,1.05858,307.7,127,77,135,307.7,2.53,0.026,1.064,3.249
1,1.06245,258.7,127,81,148,258.7,2.86,0.03,1.159,3.866
1,1.06655,243.9,127,79,149,243.9,3.11,0.032,1.165,4.1
1,1.07012,280.0,127,85,139,280.0,2.52,0.028,1.094,3.571
1,1.07374,276.1,127,83,158,276.1,2.62,0.028,1.237,3.622
1,1.07728,282.8,128,82,178,282.8,2.59,0.028,1.39,3.536
1,1.08137,244.5,129,80,160,244.5,3.07,0.032,1.234,4.09
1,1.08579,226.1,129,86,192,226.1,3.09,0.034,1.482,4.423
1,1.08917,296.4,129,81,155,296.4,2.5,0.026,1.198,3.374
1,1.09255,295.4,129,83,150,295.4,2.45,0.026,1.166,3.386
1,1.09651,252.8,128,85,166,252.8,2.79,0.031,1.297,3.955
1,1.09953,330.7,128,87,126,330.7,2.09,0.024,0.985,3.024
1,1.10354,249.5,128,81,192,249.5,2.97,0.031,1.499,4.008
1,1.10712,279.2,128,86,172,279.2,2.5,0.028,1.343,3.582
1,1.11063,284.6,128,83,165,284.6,2.54,0.028,1.295,3.514
1,1.11436,268.6,128,87,149,268.6,2.57,0.029,1.164,3.722
1,1.1179,282.5,128,87,143,282.5,2.44,0.028,1.117,3.539
1,1.12197,245.4,128,85,204,245.4,2.88,0.032,1.595,4.074
1,1.12595,251.4,128,86,165,251.4,2.78,0.031,1.289,3.978
1,1.12964,270.8,128,75,149,270.8,2.95,0.029,1.167,3.693
1,1.13377,242.1,127,84,143,242.1,2.95,0.033,1.131,4.131
1,1.13746,270.9,127,84,163,270.9,2.64,0.029,1.285,3.692
1,1.14144,251.6,127,85,180,251.6,2.81,0.031,1.417,3.974
1,1.14484,293.7,127,82,151,293.7,2.49,0.027,1.19,3.405
1,1.14866,261.7,127,84,173,261.7,2.73,0.03,1.365,3.821
1,1.1528,241.9,127,84,183,241.9,2.95,0.032,1.441,4.134
1,1.15646,273.2,128,84,189,273.2,2.61,0.029,1.481,3.66
1,1.15994,287.5,127,80,145,287.5,2.61,0.027,1.137,3.478
1,1.1638,259.1,128,83,165,259.1,2.79,0.03,1.295,3.86
1,1.1675,269.9,127,80,165,269.9,2.78,0.029,1.305,3.705
1,1.17131,262.7,127,89,143,262.7,2.57,0.03,1.123,3.806
1,1.17492,277.2,128,84,161,277.2,2.58,0.028,1.26,3.607
1,1.17857,273.2,127,81,154,273.2,2.71,0.029,1.206,3.66
1,1.18264,246.1,127,85,168,246.1,2.87,0.032,1.316,4.063
1,1.18679,241.0,127,74,182,241.0,3.36,0.033,1.434,4.15
1,1.18982,330.2,127,78,140,330.2,2.33,0.024,1.108,3.028
1,1.19301,313.1,127,81,175,313.1,2.37,0.025,1.376,3.194
1,1.19669,271.5,127,77,156,271.5,2.87,0.029,1.222,3.683
1,1.20019,286.1,127,84,165,286.1,2.5,0.027,1.296,3.496
1,1.20392,267.6,127,84,187,267.6,2.67,0.029,1.468,3.737
1,1.20801,244.6,127,82,158,244.6,2.99,0.032,1.241,4.088
1,1.21145,291.2,126,88,141,291.2,2.34,0.027,1.117,3.434
1,1.21552,245.3,127,80,154,245.3,3.06,0.032,1.214,4.077
1,1.21925,268.4,127,92,178,268.4,2.43,0.029,1.408,3.726
1,1.22353,233.6,127,89,180,233.6,2.89,0.034,1.416,4.281
1,1.22712,278.7,127,85,167,278.7,2.53,0.028,1.319,3.588
1,1.2313,239.2,127,83,203,239.2,3.02,0.033,1.599,4.181
1,1.23463,299.9,126,87,142,299.9,2.3,0.026,1.127,3.335
1,1.23837,267.6,127,87,148,267.6,2.58,0.03,1.169,3.737
1,1.24269,231.4,126,78,185,231.4,3.32,0.034,1.464,4.321
1,1.24653,260.7,126,88,161,260.7,2.62,0.03,1.278,3.837
1,1.25061,245.2,127,81,175,245.2,3.02,0.032,1.379,4.078
1,1.25451,256.5,127,90,168,256.5,2.6,0.031,1.323,3.899
1,1.25816,273.6,128,82,177,273.6,2.67,0.029,1.387,3.655
1,1.26145,303.9,127,91,149,303.9,2.17,0.026,1.172,3.29
1,1.26538,254.6,127,84,164,254.6,2.81,0.031,1.291,3.928
1,1.26938,250.0,127,83,183,250.0,2.89,0.032,1.447,4.001
1,1.27329,256.1,127,85,164,256.1,2.76,0.031,1.284,3.905
1,1.27686,280.0,128,85,180,280.0,2.52,0.028,1.408,3.571
1,1.28085,250.4,128,82,175,250.4,2.92,0.031,1.375,3.994
1,1.28528,225.6,128,85,191,225.6,3.13,0.035,1.493,4.433
1,1.28866,295.9,129,86,173,295.9,2.36,0.026,1.342,3.379
1,1.29275,244.7,129,89,182,244.7,2.75,0.032,1.413,4.086
1,1.29629,282.6,129,82,166,282.6,2.59,0.028,1.294,3.538
1,1.30005,265.5,129,90,158,265.5,2.51,0.029,1.231,3.767
1,1.30345,294.1,129,87,148,294.1,2.35,0.026,1.145,3.401
1,1.30737,255.2,129,80,167,255.2,2.94,0.03,1.295,3.918
1,1.31102,274.0,129,80,167,274.0,2.74,0.028,1.296,3.65
1,1.31484,261.7,129,91,182,261.7,2.52,0.03,1.416,3.821
1,1.31823,295.2,129,78,174,295.2,2.61,0.026,1.343,3.388
